,Unnamed: 0,ProductCode,ProductPrice,NumberOfCapsules,TypeofVitamin,IU,Market,Age_cat,gender,defficiency,IU_needed
0,0,1,12.15,180,1,1000,2,1.0,0,1,5000.0
1,1,2,2.63,120,1,2000,2,1.0,1,0,400.0
2,2,3,2.75,120,1,1000,2,1.0,1,0,400.0
3,3,4,2.39,120,1,400,2,1.0,1,0,400.0
4,4,5,4.89,100,0,400,2,1.0,0,0,400.0
5,5,6,4.89,100,0,400,2,2.0,1,0,600.0
6,6,7,5.75,60,0,4000,2,2.0,1,0,600.0
7,7,8,9.3,150,0,1000,2,2.0,0,0,600.0
8,8,9,6.95,120,1,4000,2,2.0,0,0,600.0
9,9,10,10.95,120,0,4000,2,2.0,0,0,600.0
10,10,11,3.95,60,0,2000,2,2.0,0,1,5000.0
11,11,12,9.89,60,0,400,2,2.0,0,1,5000.0
12,12,13,9.25,60,0,2000,2,2.0,0,1,5000.0
13,13,14,7.95,240,0,2000,2,2.0,0,1,5000.0
14,14,15,9.4,200,0,2000,2,2.0,0,1,5000.0
15,15,16,18.8,120,0,4000,2,2.0,0,1,5000.0
16,16,17,7.95,120,0,4000,2,2.0,0,1,5000.0
17,17,18,14.95,200,0,4000,2,2.0,1,0,600.0
18,18,19,3.95,150,1,2000,2,2.0,1,0,600.0
19,19,20,5.75,90,1,4000,2,2.0,1,0,600.0
20,20,21,4.15,150,1,2000,2,2.0,1,0,600.0
21,21,22,12.95,60,1,2000,2,2.0,1,0,600.0
22,22,23,11.95,200,1,4000,2,3.0,1,1,7000.0
23,23,24,2.65,20,0,1000,2,3.0,1,1,7000.0
24,24,25,17.95,60,1,4000,2,3.0,1,1,7000.0
25,25,26,2.95,120,1,800,2,3.0,1,1,7000.0
26,26,27,7.95,200,1,2000,2,3.0,0,1,7500.0
27,27,29,12.3,240,0,2000,1,2.0,0,1,5500.0
28,28,30,4.75,150,0,2000,1,2.0,0,0,600.0
29,29,31,12.65,120,0,4000,1,2.0,1,0,600.0
30,30,32,12.6,60,0,1000,1,2.0,0,0,600.0
31,31,33,9.85,120,0,2000,1,2.0,0,0,600.0
32,32,34,7.65,150,1,4000,1,2.0,1,1,4000.0
33,33,35,17.15,200,0,4000,1,2.0,0,1,4500.0
34,34,36,6.35,120,1,800,1,2.0,0,1,4700.0
35,35,37,4.75,60,0,2000,1,2.0,1,0,600.0
36,36,38,7.85,120,1,2000,1,2.0,0,0,600.0
37,37,39,6.45,60,0,4000,1,2.0,0,0,600.0
38,38,40,10.8,200,1,4000,1,2.0,0,1,600.0
39,39,41,10.79,60,1,2000,1,2.0,1,1,600.0
40,40,42,6.19,100,0,2000,1,2.0,0,1,600.0
41,41,43,5.19,120,1,800,1,2.0,1,1,600.0
42,42,44,6.79,120,1,2000,1,2.0,0,0,600.0
43,43,45,4.89,120,1,400,1,2.0,0,0,600.0
44,44,46,9.95,60,0,4000,1,2.0,0,0,600.0
45,45,47,9.85,120,0,4000,1,2.0,0,1,600.0
46,46,48,9.89,100,0,2000,1,2.0,0,1,600.0
47,47,49,9.95,200,0,2000,1,2.0,0,1,600.0
48,48,50,17.95,60,1,4000,1,2.0,0,1,600.0
49,49,51,10.8,200,1,2000,1,2.0,2,2,600.0
50,50,52,7.65,150,1,4000,1,2.0,2,2,600.0
51,51,53,7.85,120,1,2000,1,2.0,2,2,600.0
52,52,54,13.4,100,0,4000,1,2.0,2,2,600.0
53,53,55,16.95,60,1,4000,1,2.0,2,2,600.0
54,54,56,13.85,180,0,1000,1,2.0,2,2,600.0
55,55,57,5.55,100,0,400,1,2.0,2,2,600.0
56,56,58,16.9,200,1,800,0,2.0,2,2,600.0
57,57,59,22.6,300,1,800,0,2.0,2,2,600.0
58,58,60,11.3,100,1,800,0,2.0,2,2,600.0
59,59,61,24.6,200,1,2000,0,2.0,2,2,600.0
60,60,62,24.6,200,1,3000,0,2.0,2,2,600.0
61,61,63,15.2,100,1,3000,0,2.0,2,2,600.0
62,62,64,11.5,150,1,2000,0,2.0,2,2,600.0
63,63,65,15.2,100,1,2000,0,2.0,2,2,600.0
64,64,66,18.0,90,1,4000,0,2.0,2,2,600.0
65,65,67,19.9,200,1,4000,0,2.0,2,2,600.0
66,66,68,18.9,120,1,400,0,2.0,2,2,600.0
67,67,69,12.9,60,0,4000,0,2.0,2,2,600.0
68,68,70,13.2,60,0,400,0,2.0,2,2,600.0
69,69,71,9.56,60,0,200,0,2.0,2,2,600.0
70,70,72,22.5,300,1,400,0,2.0,2,2,600.0
71,71,73,19.9,300,1,800,0,2.0,2,2,600.0
72,72,74,9.4,100,1,800,0,2.0,2,2,600.0
73,73,75,14.2,100,1,2000,0,2.0,2,2,600.0
74,74,76,17.9,90,1,4000,0,2.0,2,2,600.0
75,75,77,15.2,100,1,2000,0,2.0,2,2,600.0
76,76,78,21.9,60,1,4000,0,2.0,2,2,600.0
77,77,79,17.2,60,1,2000,0,2.0,2,2,600.0
78,78,80,24.6,200,1,2000,0,2.0,2,2,600.0
79,79,81,17.5,200,1,800,0,2.0,2,2,600.0
80,80,82,24.6,200,1,2000,0,2.0,2,2,600.0
81,81,83,18.9,100,1,4000,0,2.0,2,2,600.0
82,82,84,18.9,150,1,2000,0,2.0,2,2,600.0
83,83,85,10.12,60,0,400,0,2.0,2,2,600.0
84,84,86,13.59,60,1,800,0,2.0,2,2,600.0
